Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2019.12.2;09:00;10060320196;1351;11;3
2019.12.2;09:00;10060320196;1352;12;3
2019.12.2;09:00;10060320196;1353;9;3
2019.12.2;09:00;10060320196;1354;9;3
2019.12.2;09:00;10060320196;1355;10;3
2019.12.2;09:00;10060320196;1356;12;3
2019.12.2;09:00;10060320196;1358;17;3
2019.12.2;09:00;07074720196;1357;6;3
2019.12.2;09:00;70990720196;1311;80;3
2019.12.2;09:00;70990720196;1313;54;3
2019.12.2;09:00;70990720196;1314;34;3
2019.12.2;09:00;09214620196;743;1;3
2019.12.2;09:00;09512120196;739;8;3
2019.12.2;09:00;09512120196;742;18;3
2019.12.2;09:00;09512120196;743;10;3
2019.12.2;09:00;04419920196;1781;17;3
2019.12.2;09:00;09816020196;1781;21;3
2019.12.2;09:00;70549920196;1781;6;3
2019.12.2;09:00;09101120196;914;24;3
2019.12.2;09:00;09101120196;915;24;3
2019.12.2;09:00;09101120196;1276;10;3
2019.12.2;09:00;09101120196;1277;13;3
2019.12.2;09:00;09101120196;471;13;3
2019.12.2;09:00;09101120196;472;12;3
2019.12.2;09:00;09101120196;1351;11;3
2019.12.2;09:00;09101120196;1352;13;3
2019.12.2;09:00;09101120196;1353;10;3
2019.12.2;09:00;09101120196;1354;10;3
2019.12.2;09:00;09101120196;1355;10;3
2019.12.2;09:00;09101120196;1356;13;3
2019.12.2;09:00;09101120196;1357;11;3
2019.12.2;09:00;09101120196;1358;17;3
2019.12.2;09:00;09101120196;1363;8;3
2019.12.2;09:00;09101120196;1364;10;3
2019.12.2;09:00;09101120196;1365;10;3
2019.12.2;09:00;09101120196;1366;13;3
2019.12.2;09:00;09101120196;1367;13;3
2019.12.2;09:00;09101120196;739;7;3
2019.12.2;09:00;09101120196;742;18;3
2019.12.2;09:00;09101120196;743;11;3
2019.12.2;09:00;09101120196;744;11;3
2019.12.2;09:00;09101120196;765;11;3
2019.12.2;09:00;09101120196;767;13;3
2019.12.2;09:00;70069020196;1276;10;3
2019.12.2;09:00;08715120196;914;24;3
2019.12.2;09:00;08715120196;915;24;3
2019.12.2;09:00;08715120196;1277;13;3
2019.12.2;09:00;08715120196;471;12;3
2019.12.2;09:00;08715120196;472;13;3
2019.12.2;09:00;10090120196;608;44;3
2019.12.2;09:00;02013520196;1363;5;3
2019.12.2;09:00;02013520196;1364;10;3
2019.12.2;09:00;02013520196;1365;10;3
2019.12.2;09:00;02013520196;1366;12;3
2019.12.2;09:00;02013520196;1367;11;3
2019.12.2;09:00;04520520196;744;11;3
2019.12.2;09:00;04520520196;765;10;3
2019.12.2;09:00;04520520196;767;15;3
2019.12.2;09:00;70896520196;1311;1;3
2019.12.2;09:00;70896520196;1312;70;3
